Filename,Disease
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124249 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124250 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124252 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124253 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124256 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124301 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124302 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124305 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124306 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124310 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124312 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124334 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124336 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124341 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124345 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124457 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124501 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124522 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124524 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124624 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124632 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124907 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124917 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124931 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_124933 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125014 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125016 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125052 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125056 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125100 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125102 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125104 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125110 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125112 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125118 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125121 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125124 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125127 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125130 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125132 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125137 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125140 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125146 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211008_125152 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211011_131259 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211011_131304 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211011_133200 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211011_133201 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211011_133203 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211011_133205 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211011_133207 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211011_133406 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211011_133407 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211011_133409 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211011_133412 (Custom).jpg,Anthracnose
C:\Users\USER\OneDrive\Desktop\Mango\Anthracnose\20211011_133419 (Custom).jpg,Anthracnose
